"price","speed","hd","ram","screen","cd","multi","premium","ads","trend","hd2","speed2","pred","Error"
2995,66,340,8,15,1,1,2,94,1,115600,4356,2990.68268874564,4.31731125435726
2190,33,210,4,14,1,1,2,94,1,44100,1089,2178.14834667096,11.8516533290372
2199,33,212,8,14,1,1,1,94,1,44944,1089,2907.19930311021,-708.199303110207
2125,50,130,4,14,1,1,2,94,1,16900,2500,2273.39013928127,-148.390139281273
2045,66,130,4,14,1,1,2,94,1,16900,4356,2418.85337800693,-373.853378006935
3075,66,210,4,17,1,1,2,94,1,44100,4356,2861.58318156102,213.41681843898
2945,66,210,8,17,1,1,2,94,1,44100,4356,3048.7930171205,-103.793017120498
1945,50,130,4,14,1,1,2,94,1,16900,2500,2273.39013928127,-328.390139281273
3990,66,330,8,15,1,1,2,94,1,108900,4356,2978.88716802211,1011.11283197789
1795,33,170,4,15,1,1,2,94,1,28900,1089,2234.31254427046,-439.31254427046
2495,33,250,8,15,1,1,2,94,1,62500,1089,2528.41164244335,-33.4116424433487
2220,33,250,4,14,2,1,2,94,1,62500,1089,2272.05509829968,-52.055098299676
2195,66,85,2,14,1,1,2,94,1,7225,4356,2259.34604909657,-64.3460490965654
1495,25,170,4,14,1,1,2,94,1,28900,625,2008.30492014731,-513.304920147307
2325,66,130,4,14,1,1,2,94,1,16900,4356,2418.85337800693,-93.8533780069347
1499,25,120,4,14,1,1,2,94,1,14400,625,1937.42847454576,-438.428474545761
2199,33,212,4,14,1,1,2,94,1,44944,1089,2180.81807321693,18.181926783067
3095,66,245,8,14,1,1,2,94,1,60025,4356,2762.95739737669,332.04260262331
4020,66,500,8,14,2,1,2,94,1,250000,4356,3093.23018005587,926.769819944125
2725,33,210,4,17,1,1,2,94,1,44100,1089,2509.9808566276,215.019143372402
1695,33,170,4,14,1,1,2,94,1,28900,1089,2123.70170761825,-428.701707618247
3044,50,245,8,14,1,1,2,94,1,60025,2500,2617.49415865103,426.50584134897
2999,50,170,4,14,1,1,2,94,1,28900,2500,2329.84079382601,669.159206173993
2844,33,245,8,14,1,1,2,94,1,60025,1089,2411.35507244327,432.64492755673
1975,33,210,8,14,1,1,2,94,1,44100,1089,2365.35818223044,-390.35818223044
3220,66,340,8,15,2,1,2,94,1,115600,4356,3032.14681681366,187.853183186341
2595,50,130,4,14,1,1,2,94,1,16900,2500,2273.39013928127,321.609860718727
1629,25,80,8,14,1,1,1,94,1,6400,625,2604.85403052928,-975.854030529278
3399,66,230,4,15,1,1,2,94,1,52900,4356,2666.83332197345,732.166678026554
2495,33,245,8,14,1,1,2,94,1,60025,1089,2411.35507244327,83.6449275567302
2990,66,210,8,15,1,1,2,94,1,44100,4356,2827.57134381607,162.428656183927
2720,33,250,8,15,2,1,2,94,1,62500,1089,2569.87577051137,150.124229488635
2595,25,245,8,14,1,1,2,94,1,60025,625,2295.95828497233,299.04171502767
1999,33,120,8,14,1,1,1,94,1,14400,1089,2779.20649190997,-780.206491909975
2075,33,210,8,14,1,1,2,94,1,44100,1089,2365.35818223044,-290.35818223044
1795,33,130,4,14,1,1,2,94,1,16900,1089,2067.25105307351,-272.251053073513
1395,25,85,2,14,1,1,2,94,1,7225,625,1792.34693669221,-397.346936692205
3490,50,330,8,14,1,1,2,94,1,108900,2500,2722.81309264423,767.186907355767
2975,50,210,4,17,1,1,2,94,1,44100,2500,2716.11994283536,258.880057164642
2145,66,130,4,14,1,1,2,94,1,16900,4356,2418.85337800693,-273.853378006935
2420,33,170,8,15,2,1,2,94,1,28900,1089,2462.98650789795,-42.9865078979533
2505,50,210,8,14,1,1,2,94,1,44100,2500,2571.4972684382,-66.4972684382001
2995,66,340,16,14,1,1,2,95,2,115600,4356,3202.74239214612,-207.742392146118
1495,25,170,4,14,1,1,2,95,2,28900,625,1956.55578908104,-461.555789081039
1999,33,170,4,14,1,1,2,95,2,28900,1089,2071.95257655198,-72.9525765519793
1920,33,170,4,14,2,1,2,95,2,28900,1089,2113.41670462,-193.416704619996
2595,25,340,16,14,1,1,2,95,2,115600,625,2735.74327974176,-140.743279741757
1695,33,170,4,14,1,1,2,95,2,28900,1089,2071.95257655198,-376.952576551979
1995,33,250,4,14,1,1,2,95,2,62500,1089,2178.84183916539,-183.841839165391
2195,25,245,8,14,1,1,2,95,2,60025,625,2244.20915390606,-49.2091539060616
1795,66,85,2,14,1,1,2,95,2,7225,4356,2207.5969180303,-412.596918030297
2999,66,330,4,15,1,1,2,95,2,108900,4356,2739.92820139636,259.071798603639
1395,25,85,2,14,1,1,2,95,2,7225,625,1740.59780562594,-345.597805625937
2995,66,250,8,17,1,1,2,95,2,62500,4356,3049.48650961493,-54.4865096149251
2699,50,212,8,14,1,1,2,95,2,44944,2500,2522.4178639179,176.582136082097
1720,25,170,4,14,2,1,2,95,2,28900,625,1998.01991714906,-278.019917149056
2045,66,170,4,14,1,1,2,95,2,28900,4356,2423.5549014854,-378.554901485401
2145,66,170,4,14,1,1,2,95,2,28900,4356,2423.5549014854,-278.554901485401
2995,66,340,8,15,1,1,2,95,2,115600,4356,2938.93355767937,56.0664423206254
2095,33,130,4,14,1,1,2,95,2,16900,1089,2015.50192200725,79.4980779927548
3895,50,452,8,14,1,1,2,95,2,204304,2500,2806.41216825419,1088.58783174581
2895,50,340,16,14,1,1,2,95,2,115600,2500,3057.27915342046,-162.279153420457
1499,25,170,4,14,1,1,2,95,2,28900,625,1956.55578908104,-457.555789081039
3165,66,250,4,17,1,1,2,95,2,62500,4356,2862.27667405545,302.723325944553
2525,50,250,4,15,1,1,2,95,2,62500,2500,2495.59176202536,29.4082379746369
2325,66,250,8,14,1,1,2,95,2,62500,4356,2717.65399965829,-392.65399965829
2499,33,170,4,14,1,1,2,95,2,28900,1089,2071.95257655198,427.047423448021
2799,33,230,4,14,1,1,2,95,2,52900,1089,2152.87102932155,646.128970678455
1795,33,170,4,14,1,1,2,95,2,28900,1089,2071.95257655198,-276.952576551979
2199,33,210,4,14,1,1,2,95,2,44100,1089,2126.39921560469,72.6007843953053
2355,50,250,8,14,1,1,2,95,2,62500,2500,2572.19076093263,-217.190760932629
3220,66,340,8,15,2,1,2,95,2,115600,4356,2980.39768574739,239.602314252609
2420,33,170,8,15,2,1,2,95,2,28900,1089,2411.23737683169,8.7626231683148
2544,33,245,8,14,1,1,2,95,2,60025,1089,2359.605941377,184.394058622998
2945,50,250,4,17,1,1,2,95,2,62500,2500,2716.81343532979,228.186564670214
2295,33,245,8,14,1,1,2,95,2,60025,1089,2359.605941377,-64.6059413770017
1495,33,85,2,14,1,1,2,95,2,7225,1089,1855.99459309688,-360.994593096877
2065,50,170,4,14,1,1,2,95,2,28900,2500,2278.09166275974,-213.091662759739
2295,66,130,4,14,1,1,2,95,2,16900,4356,2367.10424694067,-72.1042469406666
1799,25,170,4,14,1,1,2,95,2,28900,625,1956.55578908104,-157.555789081039
2220,33,250,4,14,2,1,2,95,2,62500,1089,2220.30596723341,-0.305967233407955
2075,50,170,4,14,1,1,2,95,2,28900,2500,2278.09166275974,-203.091662759739
1749,25,120,4,14,1,1,2,95,2,14400,625,1885.67934347949,-136.679343479493
2195,25,245,8,14,1,1,2,95,2,60025,625,2244.20915390606,-49.2091539060616
2255,50,250,8,14,1,1,2,95,2,62500,2500,2572.19076093263,-317.190760932629
2395,33,250,4,15,1,1,2,95,2,62500,1089,2289.4526758176,105.547324182397
2720,33,250,8,15,2,1,2,95,2,62500,1089,2518.1266394451,201.873360554903
2195,50,130,4,14,1,1,2,95,2,16900,2500,2221.64100821501,-26.6410082150051
2225,33,250,8,14,1,1,2,95,2,62500,1089,2366.05167472487,-141.051674724868
4020,66,500,8,14,2,1,2,95,2,250000,4356,3041.48104898961,978.518951010393
2475,50,250,8,14,1,1,2,95,2,62500,2500,2572.19076093263,-97.1907609326286
1975,50,170,4,14,1,1,2,95,2,28900,2500,2278.09166275974,-303.091662759739
3995,66,452,8,14,1,1,2,95,2,204304,4356,2951.87540697985,1043.12459302015
2595,66,245,8,14,1,1,2,95,2,60025,4356,2711.20826631042,-116.208266310422
2295,66,170,4,14,1,1,2,95,2,28900,4356,2423.5549014854,-128.554901485401
2199,33,212,4,14,1,1,2,95,2,44944,1089,2129.06894215066,69.931057849335
1975,33,250,8,14,1,1,2,95,2,62500,1089,2366.05167472487,-391.051674724868
3895,66,500,8,15,1,1,2,95,2,250000,4356,3110.6277575738,784.372242426197
2095,33,250,4,15,1,1,2,95,2,62500,1089,2289.4526758176,-194.452675817603
2225,33,250,8,15,1,1,2,95,2,62500,1089,2476.66251137708,-251.662511377081
3599,66,330,8,14,1,1,2,95,2,108900,4356,2816.52720030363,782.472799696373
2075,33,250,8,14,1,1,2,95,2,62500,1089,2366.05167472487,-291.051674724868
2499,33,212,8,14,1,1,2,95,2,44944,1089,2316.27877771014,182.721222289857
2575,66,250,8,15,1,1,2,95,2,62500,4356,2828.2648363105,-253.264836310502
2999,50,170,4,14,1,1,2,95,2,28900,2500,2278.09166275974,720.908337240261
2195,33,170,8,15,1,1,2,95,2,28900,1089,2369.77324876367,-174.773248763669
3065,50,250,4,17,1,1,2,95,2,62500,2500,2716.81343532979,348.186564670214
3399,66,230,4,15,1,1,2,95,2,52900,4356,2615.08419090718,783.915809092822
1995,33,130,4,14,1,1,2,95,2,16900,1089,2015.50192200725,-20.5019220072452
1595,25,170,4,15,1,1,2,95,2,28900,625,2067.16662573325,-472.166625733251
2645,50,250,4,15,1,1,2,95,2,62500,2500,2495.59176202536,149.408237974637
2345,50,250,8,14,1,1,2,95,2,62500,2500,2572.19076093263,-227.190760932629
2795,33,340,16,14,1,1,2,95,2,115600,1089,2851.1400672127,-56.140067212697
1895,25,130,4,14,1,1,2,95,2,16900,625,1900.10513453631,-5.10513453630506
2495,50,245,8,14,1,1,2,95,2,60025,2500,2565.74502758476,-70.7450275847618
2599,50,210,4,14,1,1,2,95,2,44100,2500,2332.53830181245,266.461698187545
1595,33,85,2,14,1,1,2,95,2,7225,1089,1855.99459309688,-260.994593096877
1999,33,120,8,14,1,1,1,95,2,14400,1089,2727.45736084371,-728.457360843707
2425,66,250,8,14,1,1,2,95,2,62500,4356,2717.65399965829,-292.65399965829
2495,33,250,8,15,1,1,2,95,2,62500,1089,2476.66251137708,18.3374886229194
1795,33,170,4,15,1,1,2,95,2,28900,1089,2182.56341320419,-387.563413204191
2744,66,245,8,14,1,1,2,95,2,60025,4356,2711.20826631042,32.791733689578
3795,33,452,8,14,1,1,2,95,2,204304,1089,2600.27308204643,1194.72691795357
2745,66,250,4,15,1,1,2,95,2,62500,4356,2641.05500075102,103.944999248976
2399,50,212,4,14,1,1,2,95,2,44944,2500,2335.20802835843,63.7919716415749
2645,33,250,8,17,1,1,2,95,2,62500,1089,2697.8841846815,-52.8841846815044
1945,33,170,4,14,1,1,2,95,2,28900,1089,2071.95257655198,-126.952576551979
1695,50,85,2,14,1,1,2,95,2,7225,2500,2062.13367930464,-367.133679304637
2195,50,170,4,14,1,1,2,95,2,28900,2500,2278.09166275974,-83.0916627597394
2815,33,250,4,17,1,1,2,95,2,62500,1089,2510.67434912203,304.325650877973
1899,25,120,4,14,1,1,2,95,2,14400,625,1885.67934347949,13.3206565205066
2644,50,245,8,14,1,1,2,95,2,60025,2500,2565.74502758476,78.2549724152382
3795,66,500,8,14,1,1,2,95,2,250000,4356,3000.01692092159,794.983079078409
2395,33,245,8,14,1,1,2,95,2,60025,1089,2359.605941377,35.3940586229983
1695,33,170,4,14,1,1,2,95,2,28900,1089,2071.95257655198,-376.952576551979
2575,66,250,8,14,1,1,2,95,2,62500,4356,2717.65399965829,-142.65399965829
2695,33,340,16,14,1,1,2,95,2,115600,1089,2851.1400672127,-156.140067212697
2999,66,245,16,15,1,1,2,100,3,60025,4356,3146.82010296709,-147.82010296709
1899,33,170,4,14,1,1,2,100,3,28900,1089,2022.53390543748,-123.533905437482
2499,50,210,4,14,1,1,2,100,3,44100,2500,2283.11963069796,215.880369302043
1999,33,213,8,14,1,1,2,100,3,45369,1089,2268.19309110411,-269.193091104106
2055,50,170,4,14,1,1,2,100,3,28900,2500,2228.67299164524,-173.672991645241
2065,50,170,4,14,1,1,2,100,3,28900,2500,2228.67299164524,-163.672991645241
2055,33,250,8,14,1,1,2,100,3,62500,1089,2316.63300361037,-261.63300361037
2099,33,212,4,14,1,1,2,100,3,44944,1089,2079.65027103617,19.3497289638331
1995,33,130,4,14,1,1,2,100,3,16900,1089,1966.08325089275,28.9167491072528
2220,33,250,4,14,2,1,2,100,3,62500,1089,2170.88729611891,49.1127038810901
3220,66,340,8,15,2,1,2,100,3,115600,4356,2930.97901463289,289.020985367107
3995,66,452,8,14,1,1,2,100,3,204304,4356,2902.45673586536,1092.54326413464
2785,33,250,8,17,1,1,2,100,3,62500,1089,2648.46551356701,136.534486432994
2475,50,250,8,15,1,1,2,100,3,62500,2500,2633.38292647034,-158.382926470343
1499,25,170,4,14,1,1,2,100,3,28900,625,1907.13711796654,-408.137117966542
1595,33,85,2,14,1,1,2,100,3,7225,1089,1806.57592198238,-211.575921982379
2099,66,120,4,14,1,1,2,100,3,14400,4356,2303.25978476936,-204.259784769357
2885,66,170,8,15,1,1,2,100,3,28900,4356,2671.95690258259,213.043097417408
3795,33,452,8,14,1,1,2,100,3,204304,1089,2550.85441093194,1244.14558906806
2295,66,170,4,14,1,1,2,100,3,28900,4356,2374.1362303709,-79.1362303709029
3895,66,500,8,15,1,1,2,100,3,250000,4356,3061.2090864593,833.790913540695
2395,33,245,8,14,1,1,2,100,3,60025,1089,2310.1872702625,84.8127297374963
3135,66,250,8,17,1,1,2,100,3,62500,4356,3000.06783850043,134.932161499573
2420,33,170,8,15,2,1,2,100,3,28900,1089,2361.81870571719,58.1812942828128
2125,66,170,4,14,1,1,2,100,3,28900,4356,2374.1362303709,-249.136230370903
2985,66,250,8,17,1,1,2,100,3,62500,4356,3000.06783850043,-15.0678385004271
1395,25,85,2,14,1,1,2,100,3,7225,625,1691.17913451144,-296.179134511439
2295,33,245,8,14,1,1,2,100,3,60025,1089,2310.1872702625,-15.1872702625037
2095,33,130,4,14,1,1,2,100,3,16900,1089,1966.08325089275,128.916749107253
2795,33,340,16,14,1,1,2,100,3,115600,1089,2801.7213960982,-6.72139609819897
1945,33,170,4,14,1,1,2,100,3,28900,1089,2022.53390543748,-77.5339054374815
2635,33,250,8,17,1,1,2,100,3,62500,1089,2648.46551356701,-13.4655135670064
2695,66,250,8,15,1,1,2,100,3,62500,4356,2778.846165196,-83.8461651960038
2199,50,213,8,14,1,1,2,100,3,45369,2500,2474.33217731187,-275.332177311866
3895,50,452,8,14,1,1,2,100,3,204304,2500,2756.99349713969,1138.00650286031
2599,50,212,8,14,1,1,2,100,3,44944,2500,2472.99919280341,126.000807196595
2745,66,170,8,14,1,1,2,100,3,28900,4356,2561.34606593038,183.65393406962
1920,33,170,4,14,2,1,2,100,3,28900,1089,2063.9980335055,-143.998033505498
2895,50,340,16,14,1,1,2,100,3,115600,2500,3007.86048230596,-112.860482305959
2199,33,210,4,14,1,1,2,100,3,44100,1089,2076.9805444902,122.019455509803
2915,50,250,8,17,1,1,2,100,3,62500,2500,2854.60459977477,60.3954002252344
1999,33,120,8,14,1,1,1,100,3,14400,1089,2678.03868972921,-679.038689729209
2720,33,250,8,15,2,1,2,100,3,62500,1089,2468.7079683306,251.292031669401
1999,33,170,4,14,1,1,2,100,3,28900,1089,2022.53390543748,-23.5339054374815
2195,33,170,8,15,1,1,2,100,3,28900,1089,2320.35457764917,-125.354577649171
2195,25,245,8,14,1,1,2,100,3,60025,625,2194.79048279156,0.209517208436409
2295,66,130,4,14,1,1,2,100,3,16900,4356,2317.68557582617,-22.6855758261686
1595,25,170,4,15,1,1,2,100,3,28900,625,2017.74795461875,-422.747954618754
1695,33,170,4,14,1,1,2,100,3,28900,1089,2022.53390543748,-327.533905437482
1495,25,170,4,14,1,1,2,100,3,28900,625,1907.13711796654,-412.137117966542
3795,66,500,8,14,1,1,2,100,3,250000,4356,2950.59824980709,844.401750192907
1699,33,120,4,14,1,1,2,100,3,14400,1089,1951.65745983594,-252.657459835935
1895,25,130,4,14,1,1,2,100,3,16900,625,1850.68646342181,44.3135365781927
2335,50,250,8,14,1,1,2,100,3,62500,2500,2522.77208981813,-187.772089818131
2495,50,245,8,14,1,1,2,100,3,60025,2500,2516.32635647026,-21.3263564702638
2575,66,250,8,14,1,1,2,100,3,62500,4356,2668.23532854379,-93.2353285437916
2495,33,250,8,15,1,1,2,100,3,62500,1089,2427.24384026258,67.7561597374174
3299,66,245,16,15,1,1,2,100,3,60025,4356,3146.82010296709,152.17989703291
2699,66,213,8,14,1,1,2,100,3,45369,4356,2619.79541603753,79.2045839624734
1695,50,85,2,14,1,1,2,100,3,7225,2500,2012.71500819014,-317.715008190139
2999,66,170,4,14,1,1,2,100,3,28900,4356,2374.1362303709,624.863769629097
2399,66,213,8,14,1,1,2,100,3,45369,4356,2619.79541603753,-220.795416037527
1499,25,170,4,14,1,1,2,100,3,28900,625,1907.13711796654,-408.137117966542
2395,33,170,8,14,1,1,2,100,3,28900,1089,2209.74374099696,185.256259003041
1720,25,170,4,14,2,1,2,100,3,28900,625,1948.60124603456,-228.601246034558
1495,33,85,2,14,1,1,2,100,3,7225,1089,1806.57592198238,-311.575921982379
2399,66,120,4,14,1,1,2,100,3,14400,4356,2303.25978476936,95.7402152306431
3035,50,250,8,17,1,1,2,100,3,62500,2500,2854.60459977477,180.395400225234
2449,33,230,4,14,1,1,2,100,3,52900,1089,2103.45235820705,345.547641792953
1775,33,170,4,14,1,1,2,100,3,28900,1089,2022.53390543748,-247.533905437482
2599,33,245,16,15,1,1,2,100,3,60025,1089,2795.21777803367,-196.217778033671
2995,66,340,8,15,1,1,2,100,3,115600,4356,2889.51488656488,105.485113435123
2345,33,250,8,15,1,1,2,100,3,62500,1089,2427.24384026258,-82.2438402625826
2535,33,170,8,15,1,1,2,100,3,28900,1089,2320.35457764917,214.645422350829
2345,50,250,8,14,1,1,2,100,3,62500,2500,2522.77208981813,-177.772089818131
1899,50,120,4,14,1,1,2,100,3,14400,2500,2157.7965460437,-258.796546043695
2195,50,130,4,14,1,1,2,100,3,16900,2500,2172.22233710051,22.777662899493
2645,50,170,8,14,1,1,2,100,3,28900,2500,2415.88282720472,229.117172795281
2785,50,170,8,15,1,1,2,100,3,28900,2500,2526.49366385693,258.506336143069
2799,50,245,16,15,1,1,2,100,3,60025,2500,3001.35686424143,-202.35686424143
2999,66,340,4,15,1,1,2,100,3,115600,4356,2702.3050510054,296.694948994601
2095,33,250,4,15,1,1,2,100,3,62500,1089,2240.03400470311,-145.034004703105
4020,66,500,8,14,2,1,2,100,3,250000,4356,2992.06237787511,1027.93762212489
2595,50,250,8,15,1,1,2,100,3,62500,2500,2633.38292647034,-38.3829264703427
2695,33,340,16,14,1,1,2,100,3,115600,1089,2801.7213960982,-106.721396098199
2195,33,250,8,15,1,1,2,100,3,62500,1089,2427.24384026258,-232.243840262583
2995,66,340,16,14,1,1,2,100,3,115600,4356,3153.32372103162,-158.32372103162
2195,50,170,4,14,1,1,2,100,3,28900,2500,2228.67299164524,-33.6729916452414
2399,33,212,8,14,1,1,2,100,3,44944,1089,2266.86010659564,132.139893404355
2405,66,250,8,14,1,1,2,100,3,62500,4356,2668.23532854379,-263.235328543792
1795,66,85,2,14,1,1,2,100,3,7225,4356,2158.1782469158,-363.178246915799
2225,33,250,8,14,1,1,2,100,3,62500,1089,2316.63300361037,-91.6330036103705
1995,33,250,4,14,1,1,2,100,3,62500,1089,2129.42316805089,-134.423168050893
2299,50,212,4,14,1,1,2,100,3,44944,2500,2285.78935724393,13.210642756073
1795,33,170,4,15,1,1,2,100,3,28900,1089,2133.14474208969,-338.144742089693
2545,66,250,8,15,1,1,2,100,3,62500,4356,2778.846165196,-233.846165196004
2595,66,245,8,14,1,1,2,100,3,60025,4356,2661.78959519592,-66.789595195924
1399,25,170,4,14,1,1,2,100,3,28900,625,1907.13711796654,-508.137117966542
2475,50,250,8,14,1,1,2,100,3,62500,2500,2522.77208981813,-47.7720898181306
2595,25,340,16,14,1,1,2,100,3,115600,625,2686.32460862726,-91.3246086272593
1695,50,85,2,14,1,1,2,108,4,7225,2500,1965.04418203947,-270.044182039469
3995,66,452,8,14,1,1,2,108,4,204304,4356,2854.78590971469,1140.21409028531
2999,66,240,4,15,1,1,2,108,4,57600,4356,2531.04272404806,467.957275951942
2495,50,245,8,14,1,1,2,108,4,60025,2500,2468.65553031959,26.3444696804063
2455,66,250,8,14,1,1,2,108,4,62500,4356,2620.56450239312,-165.564502393121
2299,50,212,4,14,1,1,2,108,4,44944,2500,2238.11853109326,60.8814689067431
2690,25,340,16,14,1,1,2,108,4,115600,625,2638.65378247659,51.3462175234108
2155,33,250,8,14,1,1,2,108,4,62500,1089,2268.9621774597,-113.9621774597
2890,33,340,16,14,1,1,2,108,4,115600,1089,2754.05056994753,135.949430052472
1899,33,170,4,14,1,1,2,108,4,28900,1089,1974.86307928681,-75.8630792868114
1595,25,170,4,14,1,1,2,108,4,28900,625,1859.46629181587,-264.466291815871
1990,25,130,4,14,1,1,2,108,4,16900,625,1803.01563727114,186.984362728863
1895,25,130,4,14,1,1,2,108,4,16900,625,1803.01563727114,91.9843627288633
1895,33,170,4,14,1,1,2,108,4,28900,1089,1974.86307928681,-79.8630792868114
2799,50,245,16,15,1,1,2,108,4,60025,2500,2953.68603809076,-154.686038090759
2590,50,245,8,14,1,1,2,108,4,60025,2500,2468.65553031959,121.344469680406
1499,25,170,4,14,1,1,2,108,4,28900,625,1859.46629181587,-360.466291815871
2955,50,250,8,17,1,1,2,108,4,62500,2500,2806.9337736241,148.066226375905
2285,50,250,8,14,1,1,2,108,4,62500,2500,2475.10126366746,-190.10126366746
2475,50,250,8,15,1,1,2,108,4,62500,2500,2585.71210031967,-110.712100319673
3795,33,452,8,14,1,1,2,108,4,204304,1089,2503.18358478126,1291.81641521874
1999,33,213,8,14,1,1,2,108,4,45369,1089,2220.52226495344,-221.522264953435
2599,50,212,8,14,1,1,2,108,4,44944,2500,2425.32836665273,173.671633347265
2895,50,340,16,14,1,1,2,108,4,115600,2500,2960.18965615529,-65.1896561552885
3895,50,452,8,14,1,1,2,108,4,204304,2500,2709.32267098902,1185.67732901098
2695,66,250,8,14,1,1,2,108,4,62500,4356,2620.56450239312,74.4354976068789
1995,50,170,4,14,1,1,2,108,4,28900,2500,2181.00216549457,-186.002165494571
2399,66,120,4,14,1,1,2,108,4,14400,4356,2255.58895861869,143.411041381313
2605,33,250,8,17,1,1,2,108,4,62500,1089,2600.79468741634,4.20531258366418
2335,66,250,8,14,1,1,2,108,4,62500,4356,2620.56450239312,-285.564502393121
2195,66,170,4,14,1,1,2,108,4,28900,4356,2326.46540422023,-131.465404220233
2425,66,250,8,15,1,1,2,108,4,62500,4356,2731.17533904533,-306.175339045333
2995,66,340,16,14,1,1,2,108,4,115600,4356,3105.65289488095,-110.652894880949
2599,33,245,16,15,1,1,2,108,4,60025,1089,2747.546951883,-148.546951883
2390,33,245,8,14,1,1,2,108,4,60025,1089,2262.51644411183,127.483555888166
1690,33,85,2,14,1,1,2,108,4,7225,1089,1758.90509583171,-68.9050958317086
1495,33,85,2,14,1,1,2,108,4,7225,1089,1758.90509583171,-263.905095831709
2395,33,250,8,14,1,1,2,108,4,62500,1089,2268.9621774597,126.0378225403
